Timeline Trace
Generated on: 2019-11-25 18:45:29
Msec since Epoch: 1574707529541
Profiled application: host
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
15019.74555,clGetPlatformIDs|General,START,,,,,,,,,,,0,
15019.79972,clGetPlatformIDs|General,END,,,,,,,,,,,0,
15019.81035,clGetPlatformIDs|General,START,,,,,,,,,,,1,
15019.81622,clGetPlatformIDs|General,END,,,,,,,,,,,1,
15019.82454,clGetPlatformInfo|General,START,,,,,,,,,,,2,
15019.83242,clGetPlatformInfo|General,END,,,,,,,,,,,2,
15019.83735,clGetPlatformInfo|General,START,,,,,,,,,,,3,
15019.84226,clGetPlatformInfo|General,END,,,,,,,,,,,3,
15019.86011,clGetDeviceIDs|General,START,,,,,,,,,,,4,
15019.87049,clGetDeviceIDs|General,END,,,,,,,,,,,4,
15019.87557,clGetDeviceIDs|General,START,,,,,,,,,,,5,
15019.88067,clGetDeviceIDs|General,END,,,,,,,,,,,5,
15019.88862,clRetainDevice|General,START,,,,,,,,,,,6,
15019.89428,clRetainDevice|General,END,,,,,,,,,,,6,
15019.89938,clRetainDevice|General,START,,,,,,,,,,,7,
15019.90427,clRetainDevice|General,END,,,,,,,,,,,7,
15019.91169,clCreateContext|General,START,,,,,,,,,,,8,
15019.92315,clCreateContext|General,END,,,,,,,,,,,8,
15019.93108,clCreateCommandQueue|General,START,,,,,,,,,,,9,
15019.94331,clCreateCommandQueue|General,END,,,,,,,,,,,9,
15020.04726,clCreateProgramWithBinary|General,START,,,,,,,,,,,10,
18229.66482,clCreateProgramWithBinary|General,END,,,,,,,,,,,10,
18229.69968,clCreateKernel|General,START,,,,,,,,,,,11,
18231.01342,clCreateKernel|General,END,,,,,,,,,,,11,
18231.04001,clCreateBuffer|General,START,,,,,,,,,,,12,
18231.09749,clCreateBuffer|General,END,,,,,,,,,,,12,
18231.10456,clCreateBuffer|General,START,,,,,,,,,,,13,
18238.354,clCreateBuffer|General,END,,,,,,,,,,,13,
18238.36875,clCreateBuffer|General,START,,,,,,,,,,,14,
18321.01741,clCreateBuffer|General,END,,,,,,,,,,,14,
18321.06714,clSetKernelArg|General,START,,,,,,,,,,,15,
