Timeline Trace
Generated on: 2019-11-25 18:42:03
Msec since Epoch: 1574707323919
Profiled application: host
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
15098.03566,clGetPlatformIDs|General,START,,,,,,,,,,,0,
15098.09074,clGetPlatformIDs|General,END,,,,,,,,,,,0,
15098.10118,clGetPlatformIDs|General,START,,,,,,,,,,,1,
15098.10695,clGetPlatformIDs|General,END,,,,,,,,,,,1,
15098.11508,clGetPlatformInfo|General,START,,,,,,,,,,,2,
15098.1228,clGetPlatformInfo|General,END,,,,,,,,,,,2,
15098.12795,clGetPlatformInfo|General,START,,,,,,,,,,,3,
15098.13286,clGetPlatformInfo|General,END,,,,,,,,,,,3,
15098.15099,clGetDeviceIDs|General,START,,,,,,,,,,,4,
15098.16148,clGetDeviceIDs|General,END,,,,,,,,,,,4,
15098.16649,clGetDeviceIDs|General,START,,,,,,,,,,,5,
15098.17174,clGetDeviceIDs|General,END,,,,,,,,,,,5,
15098.17966,clRetainDevice|General,START,,,,,,,,,,,6,
15098.18521,clRetainDevice|General,END,,,,,,,,,,,6,
15098.19029,clRetainDevice|General,START,,,,,,,,,,,7,
15098.19512,clRetainDevice|General,END,,,,,,,,,,,7,
15098.20258,clCreateContext|General,START,,,,,,,,,,,8,
15098.21408,clCreateContext|General,END,,,,,,,,,,,8,
15098.22186,clCreateCommandQueue|General,START,,,,,,,,,,,9,
15098.23373,clCreateCommandQueue|General,END,,,,,,,,,,,9,
15098.36296,clCreateProgramWithBinary|General,START,,,,,,,,,,,10,
18108.57582,clCreateProgramWithBinary|General,END,,,,,,,,,,,10,
18108.60727,clCreateKernel|General,START,,,,,,,,,,,11,
18109.91822,clCreateKernel|General,END,,,,,,,,,,,11,
18109.94263,clCreateBuffer|General,START,,,,,,,,,,,12,
18109.99677,clCreateBuffer|General,END,,,,,,,,,,,12,
18110.00371,clCreateBuffer|General,START,,,,,,,,,,,13,
18117.27887,clCreateBuffer|General,END,,,,,,,,,,,13,
18117.29559,clCreateBuffer|General,START,,,,,,,,,,,14,
18199.87702,clCreateBuffer|General,END,,,,,,,,,,,14,
18199.94151,clSetKernelArg|General,START,,,,,,,,,,,15,
18199.95842,clSetKernelArg|General,END,,,,,,,,,,,15,
18199.96364,clSetKernelArg|General,START,,,,,,,,,,,16,
18199.96948,clSetKernelArg|General,END,,,,,,,,,,,16,
18199.97425,clSetKernelArg|General,START,,,,,,,,,,,17,
18199.97966,clSetKernelArg|General,END,,,,,,,,,,,17,
18199.98625,clRetainMemObject|General,START,,,,,,,,,,,18,
18199.99317,clRetainMemObject|General,END,,,,,,,,,,,18,
18199.99796,clRetainMemObject|General,START,,,,,,,,,,,19,
18200.00296,clRetainMemObject|General,END,,,,,,,,,,,19,
18200.00756,clRetainMemObject|General,START,,,,,,,,,,,20,
18200.01221,clRetainMemObject|General,END,,,,,,,,,,,20,
18200.01688,clRetainMemObject|General,START,,,,,,,,,,,21,
18200.02137,clRetainMemObject|General,END,,,,,,,,,,,21,
18200.02572,clRetainMemObject|General,START,,,,,,,,,,,22,
18200.03089,clRetainMemObject|General,END,,,,,,,,,,,22,
18200.03521,clRetainMemObject|General,START,,,,,,,,,,,23,
18200.03953,clRetainMemObject|General,END,,,,,,,,,,,23,
18200.04826,clEnqueueMigrateMemObjects|20846768,START,,,,,,,,,,,24,
18200.14156,clEnqueueMigrateMemObjects|20846768,END,,,,,,,,,,,24,
18200.15156,clReleaseMemObject|General,START,,,,,,,,,,,25,
18200.15759,clReleaseMemObject|General,END,,,,,,,,,,,25,
18200.16233,clReleaseMemObject|General,START,,,,,,,,,,,26,
18200.16717,clReleaseMemObject|General,END,,,,,,,,,,,26,
18200.17162,clReleaseMemObject|General,START,,,,,,,,,,,27,
18200.17639,clReleaseMemObject|General,END,,,,,,,,,,,27,
18200.18088,clReleaseMemObject|General,START,,,,,,,,,,,28,
18200.18538,clReleaseMemObject|General,END,,,,,,,,,,,28,
18200.18984,clReleaseMemObject|General,START,,,,,,,,,,,29,
18200.19451,clReleaseMemObject|General,END,,,,,,,,,,,29,
18200.1989,clReleaseMemObject|General,START,,,,,,,,,,,30,
18200.20368,clReleaseMemObject|General,END,,,,,,,,,,,30,
18200.2499,clSetKernelArg|General,START,,,,,,,,,,,31,
18200.25729,clSetKernelArg|General,END,,,,,,,,,,,31,
18200.2622,clSetKernelArg|General,START,,,,,,,,,,,32,
18200.30733,clSetKernelArg|General,END,,,,,,,,,,,32,
18200.31212,clRetainMemObject|General,START,,,,,,,,,,,33,
18200.31688,clRetainMemObject|General,END,,,,,,,,,,,33,
18200.32136,clRetainMemObject|General,START,,,,,,,,,,,34,
18200.32574,clRetainMemObject|General,END,,,,,,,,,,,34,
18200.33043,clEnqueueMigrateMemObjects|20846768,START,,,,,,,,,,,35,
18200.3453,WRITE_BUFFER,QUEUE,0X000000000|bank0,65536,,,,,,,,,
18200.38386,WRITE_BUFFER,SUBMIT,0X000000000|bank0,65536,,,,,,,,,
18200.42101,clEnqueueMigrateMemObjects|20846768,END,,,,,,,,,,,35,
18200.43248,clReleaseMemObject|General,START,,,,,,,,,,,36,
18200.44059,clReleaseMemObject|General,END,,,,,,,,,,,36,
18200.448,clReleaseMemObject|General,START,,,,,,,,,,,37,
18200.45533,clReleaseMemObject|General,END,,,,,,,,,,,37,
18200.46375,clRetainEvent|General,START,,,,,,,,,,,38,
18200.47253,clRetainEvent|General,END,,,,,,,,,,,38,
18200.47994,WRITE_BUFFER,START,0X000000000|bank0|0X7fba02c7a700,65536,,,,,,,1,None,
18200.48432,clEnqueueTask|20846768,START,,,,,,,,,,,39,
18200.55631,DEPENDENCY_EVENT,,1,2,
18200.57721,DEPENDENCY_EVENT,,2,3,
18200.63714,WRITE_BUFFER,END,0X000000000|bank0|0X7fba02c7a700,65536,,,,,,,1,2,
18207.65731,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|runOnfpga_hw|runOnfpga|1:1:1|all,QUEUE,0X13F0490,1,,,,,,,,,
18207.68752,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|runOnfpga_hw|runOnfpga|1:1:1|all,SUBMIT,0X13F0490,1,,,,,,,,,
18207.70129,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|runOnfpga_hw|runOnfpga|1:1:1|all,START,0X13F0490,1,,,,,,,3,None,
18207.80616,clEnqueueTask|20846768,END,,,,,,,,,,,39,
18207.81712,clRetainEvent|General,START,,,,,,,,,,,40,
18207.82319,clRetainEvent|General,END,,,,,,,,,,,40,
18207.82802,clSetKernelArg|General,START,,,,,,,,,,,41,
18207.83344,clSetKernelArg|General,END,,,,,,,,,,,41,
18207.83814,clSetKernelArg|General,START,,,,,,,,,,,42,
18207.8429,clSetKernelArg|General,END,,,,,,,,,,,42,
18207.84756,clSetKernelArg|General,START,,,,,,,,,,,43,
18207.85558,clSetKernelArg|General,END,,,,,,,,,,,43,
18207.86043,clSetKernelArg|General,START,,,,,,,,,,,44,
18207.86643,clSetKernelArg|General,END,,,,,,,,,,,44,
18207.87128,clRetainMemObject|General,START,,,,,,,,,,,45,
18207.87721,clRetainMemObject|General,END,,,,,,,,,,,45,
18207.88239,clRetainMemObject|General,START,,,,,,,,,,,46,
18207.88709,clRetainMemObject|General,END,,,,,,,,,,,46,
18207.89192,clEnqueueMigrateMemObjects|20846768,START,,,,,,,,,,,47,
18207.90005,DEPENDENCY_EVENT,,1,4,
18207.90821,WRITE_BUFFER,QUEUE,0X000010000|bank0,699451648,,,,,,,,,
18207.92801,WRITE_BUFFER,SUBMIT,0X000010000|bank0,699451648,,,,,,,,,
18207.95057,clEnqueueMigrateMemObjects|20846768,END,,,,,,,,,,,47,
18207.96494,clReleaseEvent|General,START,,,,,,,,,,,48,
18207.97581,clReleaseEvent|General,END,,,,,,,,,,,48,
18207.98714,clReleaseMemObject|General,START,,,,,,,,,,,49,
18208.0033,clReleaseMemObject|General,END,,,,,,,,,,,49,
18208.01094,clReleaseMemObject|General,START,,,,,,,,,,,50,
18208.02124,clReleaseMemObject|General,END,,,,,,,,,,,50,
18208.03048,clRetainEvent|General,START,,,,,,,,,,,51,
18208.04542,clRetainEvent|General,END,,,,,,,,,,,51,
18207.98133,WRITE_BUFFER,START,0X000010000|bank0|0X7fba0a479700,699451648,,,,,,,4,None,
18208.05208,clEnqueueTask|20846768,START,,,,,,,,,,,52,
18208.15795,DEPENDENCY_EVENT,,1,5,
18208.12578,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|runOnfpga_hw|runOnfpga|1:1:1|all,END,0X13F0490,1,,,,,,,3,None,
18208.20739,DEPENDENCY_EVENT,,4,5,
18208.22698,DEPENDENCY_EVENT,,5,6,
18208.24007,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|runOnfpga_hw|runOnfpga|1:1:1|all,QUEUE,0X13F0490,1,,,,,,,,,
18208.25307,clEnqueueTask|20846768,END,,,,,,,,,,,52,
18208.26006,clReleaseEvent|General,START,,,,,,,,,,,53,
18208.29428,clReleaseEvent|General,END,,,,,,,,,,,53,
18208.29996,clRetainEvent|General,START,,,,,,,,,,,54,
18208.30508,clRetainEvent|General,END,,,,,,,,,,,54,
18208.30991,clRetainMemObject|General,START,,,,,,,,,,,55,
18208.31507,clRetainMemObject|General,END,,,,,,,,,,,55,
18208.31983,clRetainMemObject|General,START,,,,,,,,,,,56,
18208.32434,clRetainMemObject|General,END,,,,,,,,,,,56,
18208.32941,clEnqueueMigrateMemObjects|20846768,START,,,,,,,,,,,57,
18208.33671,DEPENDENCY_EVENT,,3,7,
18208.34087,DEPENDENCY_EVENT,,6,7,
18208.34766,READ_BUFFER,QUEUE,0X05362a000|bank0,174862912,,,,,,,,,
18208.41056,clEnqueueMigrateMemObjects|20846768,END,,,,,,,,,,,57,
18208.41894,clReleaseMemObject|General,START,,,,,,,,,,,58,
18208.4245,clReleaseMemObject|General,END,,,,,,,,,,,58,
18208.4294,clReleaseMemObject|General,START,,,,,,,,,,,59,
18208.43411,clReleaseMemObject|General,END,,,,,,,,,,,59,
18208.43883,clRetainEvent|General,START,,,,,,,,,,,60,
18208.44395,clRetainEvent|General,END,,,,,,,,,,,60,
18208.44889,clSetKernelArg|General,START,,,,,,,,,,,61,
18208.4564,clSetKernelArg|General,END,,,,,,,,,,,61,
18208.46146,clSetKernelArg|General,START,,,,,,,,,,,62,
18208.46692,clSetKernelArg|General,END,,,,,,,,,,,62,
18208.47186,clRetainMemObject|General,START,,,,,,,,,,,63,
18208.47678,clRetainMemObject|General,END,,,,,,,,,,,63,
18208.48139,clRetainMemObject|General,START,,,,,,,,,,,64,
18208.48576,clRetainMemObject|General,END,,,,,,,,,,,64,
18208.49024,clEnqueueMigrateMemObjects|20846768,START,,,,,,,,,,,65,
18208.49795,DEPENDENCY_EVENT,,1,8,
18208.50204,DEPENDENCY_EVENT,,4,8,
18208.50866,WRITE_BUFFER,QUEUE,0X029b1c900|bank0,699451648,,,,,,,,,
18208.52848,clEnqueueMigrateMemObjects|20846768,END,,,,,,,,,,,65,
18208.53455,clReleaseEvent|General,START,,,,,,,,,,,66,
18208.54004,clReleaseEvent|General,END,,,,,,,,,,,66,
18208.54483,clReleaseMemObject|General,START,,,,,,,,,,,67,
18208.54975,clReleaseMemObject|General,END,,,,,,,,,,,67,
18208.55449,clReleaseMemObject|General,START,,,,,,,,,,,68,
