Timeline Trace
Generated on: 2019-11-23 20:04:42
Msec since Epoch: 1574539482527
Profiled application: host
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
15128.15902,clGetPlatformIDs|General,START,,,,,,,,,,,0,
15128.21444,clGetPlatformIDs|General,END,,,,,,,,,,,0,
15128.22557,clGetPlatformIDs|General,START,,,,,,,,,,,1,
15128.2313,clGetPlatformIDs|General,END,,,,,,,,,,,1,
15128.2405,clGetPlatformInfo|General,START,,,,,,,,,,,2,
15128.24892,clGetPlatformInfo|General,END,,,,,,,,,,,2,
15128.25396,clGetPlatformInfo|General,START,,,,,,,,,,,3,
15128.25893,clGetPlatformInfo|General,END,,,,,,,,,,,3,
15128.29682,clGetDeviceIDs|General,START,,,,,,,,,,,4,
15128.3094,clGetDeviceIDs|General,END,,,,,,,,,,,4,
15128.31475,clGetDeviceIDs|General,START,,,,,,,,,,,5,
15128.32,clGetDeviceIDs|General,END,,,,,,,,,,,5,
15128.32872,clRetainDevice|General,START,,,,,,,,,,,6,
15128.33427,clRetainDevice|General,END,,,,,,,,,,,6,
15128.33925,clRetainDevice|General,START,,,,,,,,,,,7,
15128.34413,clRetainDevice|General,END,,,,,,,,,,,7,
15128.35262,clCreateContext|General,START,,,,,,,,,,,8,
15128.36381,clCreateContext|General,END,,,,,,,,,,,8,
15128.37174,clCreateCommandQueue|General,START,,,,,,,,,,,9,
15128.38487,clCreateCommandQueue|General,END,,,,,,,,,,,9,
15128.49237,clCreateProgramWithBinary|General,START,,,,,,,,,,,10,
18400.58621,clCreateProgramWithBinary|General,END,,,,,,,,,,,10,
18400.62054,clCreateKernel|General,START,,,,,,,,,,,11,
18401.93764,clCreateKernel|General,END,,,,,,,,,,,11,
18401.96511,clCreateBuffer|General,START,,,,,,,,,,,12,
18402.02248,clCreateBuffer|General,END,,,,,,,,,,,12,
18402.03003,clCreateBuffer|General,START,,,,,,,,,,,13,
18409.25697,clCreateBuffer|General,END,,,,,,,,,,,13,
18409.27146,clCreateBuffer|General,START,,,,,,,,,,,14,
18492.40079,clCreateBuffer|General,END,,,,,,,,,,,14,
18492.45567,clSetKernelArg|General,START,,,,,,,,,,,15,
18492.47278,clSetKernelArg|General,END,,,,,,,,,,,15,
18492.47816,clSetKernelArg|General,START,,,,,,,,,,,16,
18492.48409,clSetKernelArg|General,END,,,,,,,,,,,16,
18492.48886,clSetKernelArg|General,START,,,,,,,,,,,17,
18492.49421,clSetKernelArg|General,END,,,,,,,,,,,17,
18492.50087,clRetainMemObject|General,START,,,,,,,,,,,18,
18492.50737,clRetainMemObject|General,END,,,,,,,,,,,18,
18492.51223,clRetainMemObject|General,START,,,,,,,,,,,19,
18492.51739,clRetainMemObject|General,END,,,,,,,,,,,19,
18492.52195,clRetainMemObject|General,START,,,,,,,,,,,20,
18492.52676,clRetainMemObject|General,END,,,,,,,,,,,20,
18492.53162,clRetainMemObject|General,START,,,,,,,,,,,21,
18492.53621,clRetainMemObject|General,END,,,,,,,,,,,21,
18492.54059,clRetainMemObject|General,START,,,,,,,,,,,22,
18492.54579,clRetainMemObject|General,END,,,,,,,,,,,22,
